id,title,authors,subjects,abs_link,pdf_link
arXiv:2507.05528,Conversational Education at Scale: A Multi-LLM Agent Workflow for Procedural Learning and Pedagogic Quality Assessment,"Jiahuan Pei, Fanghua Ye, Xin Sun, Wentao Deng, Koen Hindriks, Junxiao Wang",Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.05528,https://arxiv.org/pdf/2507.05528
arXiv:2507.05520,Cultivating Multimodal Intelligence: Interpretive Reasoning and Agentic RAG Approaches to Dermatological Diagnosis,"Karishma Thakrar, Shreyas Basavatia, Akshay Daftardar",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05520,https://arxiv.org/pdf/2507.05520
arXiv:2507.05519,Modeling (Deontic) Modal Operators With the s(CASP) Goal-directed Predicated Answer Set Programming System,"Gopal Gupta, Abhiramon Rajasekharan, Alexis R. Tudor, Elmer Salazar, Joaquín Arias",Artificial Intelligence (cs.AI); Logic in Computer Science (cs.LO),https://arxiv.org/abs/2507.05519,https://arxiv.org/pdf/2507.05519
arXiv:2507.05515,Fine-Grained Vision-Language Modeling for Multimodal Training Assistants in Augmented Reality,"Haochen Huang, Jiahuan Pei, Mohammad Aliannejadi, Xin Sun, Moonisa Ahsan, Pablo Cesar, Chuang Yu, Zhaochun Ren, Junxiao Wang",Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Computer Vision and Pattern Recognition (cs.CV),https://arxiv.org/abs/2507.05515,https://arxiv.org/pdf/2507.05515
arXiv:2507.05495,Deep Research Comparator: A Platform For Fine-grained Human Annotations of Deep Research Agents,"Prahaladh Chandrahasan, Jiahe Jin, Zhihan Zhang, Tevin Wang, Andy Tang, Lucy Mo, Morteza Ziyadi, Leonardo F.R. Ribeiro, Zimeng Qiu, Markus Dreyer, Akari Asai, Chenyan Xiong",Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05495,https://arxiv.org/pdf/2507.05495
arXiv:2507.05488,OLG++: A Semantic Extension of Obligation Logic Graph,"Subhasis Dasgupta, Jon Stephens, Amarnath Gupta",Artificial Intelligence (cs.AI); Computers and Society (cs.CY),https://arxiv.org/abs/2507.05488,https://arxiv.org/pdf/2507.05488
arXiv:2507.05297,Fuzzy Classification Aggregation for a Continuum of Agents,Zijun Meng,Artificial Intelligence (cs.AI); Theoretical Economics (econ.TH),https://arxiv.org/abs/2507.05297,https://arxiv.org/pdf/2507.05297
arXiv:2507.05283,Chat2SPaT: A Large Language Model Based Tool for Automating Traffic Signal Control Plan Management,"Yue Wang, Miao Zhou, Guijing Huang, Rui Zhuo, Chao Yi, Zhenliang Ma",Artificial Intelligence (cs.AI); Computation and Language (cs.CL),https://arxiv.org/abs/2507.05283,https://arxiv.org/pdf/2507.05283
arXiv:2507.05267,Strongly Solving $7 \times 6$ Connect-Four on Consumer Grade Hardware,Markus Böck,Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.05267,https://arxiv.org/pdf/2507.05267
arXiv:2507.06229,Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving,"Xiangru Tang, Tianrui Qin, Tianhao Peng, Ziyang Zhou, Daniel Shao, Tingting Du, Xinming Wei, Peng Xia, Fang Wu, He Zhu, Ge Zhang, Jiaheng Liu, Xingyao Wang, Sirui Hong, Chenglin Wu, Hao Cheng, Chi Wang, Wangchunshu Zhou",Computation and Language (cs.CL); Artificial Intelligence (cs.AI),https://arxiv.org/abs/2507.06229,https://arxiv.org/pdf/2507.06229
